EXTRAGERI,,,,,,,CATEGORIA I,,,CATEGORIA II,,,CATEGORIA III,,,CATEGORIA IV,,
"Jo, 2 martie 2017",24,38,48,11,12,29,REPORT,"177.198,48","2.362.618,48",6,"14.766,54","0,00",268,"330,59","0,00",4.562,"30,00","0,00"
"Du, 26 februarie 2017",22,31,30,4,42,39,REPORT,"420.952,68","2.185.420,00",4,"52.619,08","0,00",359,"586,28","0,00",6.825,"30,00","0,00"
"Jo, 23 februarie 2017",18,23,36,7,47,8,REPORT,"166.364,64","1.764.467,32",11,"7.562,02","0,00",368,"226,03","0,00",6.028,"30,00","0,00"
"Du, 19 februarie 2017",37,30,27,38,17,45,REPORT,"391.628,04","1.598.102,68",3,"65.271,34","0,00",429,"456,44","0,00",8.229,"30,00","0,00"
"Jo, 16 februarie 2017",22,17,4,42,30,3,REPORT,"181.043,64","1.206.474,64",3,"30.173,94","0,00",232,"390,18","0,00",4.891,"30,00","0,00"
"Du, 12 februarie 2017",7,5,8,25,37,6,REPORT,"313.033,44","1.025.431,00",9,"17.390,74","0,00",533,"293,65","0,00",10.316,"30,00","0,00"
"Jo, 9 februarie 2017",20,37,8,31,27,9,REPORT,"138.874,44","712.397,56",2,"34.718,61","0,00",193,"359,77","0,00",3.861,"30,00","0,00"
"Du, 5 februarie 2017",25,10,34,15,36,39,REPORT,"322.588,80","573.523,12",6,"26.882,40","0,00",307,"525,38","0,00",7.336,"30,00","0,00"
"Jo, 2 februarie 2017",40,6,27,5,25,49,REPORT,"150.934,32","250.934,32",5,"15.093,43","0,00",167,"451,89","0,00",3.582,"30,00","0,00"
"Du, 29 ianuarie 2017",38,27,49,17,13,44,1,"715.075,24","0,00",12,"12.516,73","0,00",571,"263,04","0,00",9.694,"30,00","0,00"
"Jo, 26 ianuarie 2017",33,27,2,40,42,20,REPORT,"164.673,72","414.673,72",4,"20.584,21","0,00",156,"527,80","0,00",2.923,"30,00","0,00"
"Du, 22 ianuarie 2017",24,16,38,27,11,3,1,"16.693.565,48","0,00",26,"8.021,33","0,00",1.083,"192,57","0,00",15.698,"30,00","0,00"
"Jo, 19 ianuarie 2017",23,45,12,25,2,10,REPORT,"228.729,12","16.276.456,28",11,"10.396,77","0,00",449,"254,70","0,00",7.876,"30,00","0,00"
"Du, 15 ianuarie 2017",7,30,16,39,23,5,REPORT,"452.807,52","16.047.727,16",10,"22.640,37","0,00",793,"285,50","0,00",13.652,"30,00","0,00"
"Jo, 12 ianuarie 2017",16,30,1,23,20,8,REPORT,"201.867,12","15.594.919,64",7,"14.419,08","0,00",369,"273,53","0,00",5.974,"30,00","0,00"
"Du, 8 ianuarie 2017",16,5,18,28,43,30,REPORT,"362.193,72","15.393.052,52",6,"30.182,81","0,00",415,"436,37","0,00",8.299,"30,00","0,00"
"Jo, 5 ianuarie 2017",25,49,42,29,5,24,REPORT,"246.642,48","15.030.858,80",2,"61.660,62","0,00",299,"412,44","0,00",6.238,"30,00","0,00"
"Sb, 31 decembrie 2016",23,22,43,8,9,27,REPORT,"0,00","13.110.177,32",20,"23.607,10","0,00",1.521,"310,41","0,00",30.889,"30,00","0,00"
"Jo, 22 decembrie 2016",4,18,32,21,17,34,REPORT,"271.887,84","12.165.893,32",11,"12.358,53","0,00",350,"388,41","0,00",6.484,"30,00","0,00"
"Du, 18 decembrie 2016",17,3,38,44,20,40,REPORT,"444.601,56","11.894.005,48",10,"22.230,07","0,00",463,"480,13","0,00",8.711,"30,00","0,00"
"Jo, 15 decembrie 2016",49,4,44,37,7,31,REPORT,"239.146,08","11.449.403,92",2,"59.786,52","0,00",212,"564,02","0,00",4.732,"30,00","0,00"
"Du, 11 decembrie 2016",36,18,41,24,23,10,REPORT,"415.513,92","11.210.257,84",10,"20.775,69","0,00",701,"296,37","0,00",11.912,"30,00","0,00"
"Jo, 8 decembrie 2016",38,9,24,10,7,4,REPORT,"183.115,68","10.794.743,92",8,"11.444,73","0,00",343,"266,93","0,00",7.068,"30,00","0,00"
"Du, 4 decembrie 2016",34,23,1,18,5,11,REPORT,"553.147,48","10.611.628,24",22,"12.571,53","0,00",922,"299,97","0,00",15.383,"30,00","0,00"
"Du, 27 noiembrie 2016",29,32,43,30,21,4,REPORT,"440.269,80","9.958.480,76",5,"44.026,98","0,00",402,"547,59","0,00",8.393,"30,00","0,00"
"Jo, 24 noiembrie 2016",17,15,19,11,7,9,REPORT,"159.172,32","9.518.210,96",18,"4.421,45","0,00",523,"152,17","0,00",8.052,"30,00","0,00"
"Du, 20 noiembrie 2016",2,42,1,44,19,8,REPORT,"428.391,96","9.359.038,64",6,"35.699,33","0,00",454,"471,79","0,00",9.519,"30,00","0,00"
"Jo, 17 noiembrie 2016",17,42,39,30,36,4,REPORT,"209.829,12","8.930.646,68",11,"9.537,68","0,00",249,"421,34","0,00",4.656,"30,00","0,00"
"Du, 13 noiembrie 2016",21,35,46,20,5,31,REPORT,"412.919,28","8.720.817,56",5,"41.291,92","0,00",326,"633,31","0,00",7.03,"30,00","0,00"
"Jo, 10 noiembrie 2016",35,44,17,10,22,18,REPORT,"169.606,08","8.307.898,28",7,"12.114,72","0,00",286,"296,51","0,00",4.992,"30,00","0,00"
"Du, 6 noiembrie 2016",15,11,41,14,9,42,REPORT,"377.629,92","8.138.292,20",5,"37.762,99","0,00",463,"407,80","0,00",9.7,"30,00","0,00"
"Jo, 3 noiembrie 2016",7,19,22,6,5,45,REPORT,"153.918,48","7.760.662,28",8,"9.619,90","0,00",303,"253,99","0,00",5.37,"30,00","0,00"
"Du, 30 octombrie 2016",16,37,7,33,28,36,REPORT,"327.522,60","7.606.743,80",8,"32.882,60","0,00",633,"258,70","0,00",11.201,"30,00","0,00"
"Jo, 27 octombrie 2016",6,35,3,1,43,42,REPORT,"198.599,04","7.279.221,20",REPORT,"99.299,52","99.299,52",140,"709,28","0,00",3.128,"30,00","0,00"
"Du, 23 octombrie 2016",12,31,46,17,6,5,REPORT,"342.423,12","7.080.622,16",5,"34.242,31","0,00",547,"313,00","0,00",9.826,"30,00","0,00"
"Jo, 20 octombrie 2016",11,36,7,31,19,12,REPORT,"155.973,72","6.738.199,04",6,"12.997,81","0,00",307,"254,02","0,00",5.279,"30,00","0,00"
"Du, 16 octombrie 2016",19,42,22,18,43,20,REPORT,"390.858,36","6.582.225,32",7,"27.918,45","0,00",261,"748,77","0,00",6.899,"30,00","0,00"
"Jo, 13 octombrie 2016",16,7,26,25,31,13,REPORT,"129.248,64","6.191.366,96",10,"6.462,43","0,00",449,"143,92","0,00",6.632,"30,00","0,00"
"Du, 9 octombrie 2016",9,10,27,5,38,33,REPORT,"290.555,28","6.062.118,32",17,"8.545,74","0,00",661,"219,78","0,00",11.29,"30,00","0,00"
"Jo, 6 octombrie 2016",21,10,40,23,3,38,REPORT,"161.204,16","5.771.563,04",1,"80.602,08","0,00",168,"479,77","0,00",3.424,"30,00","0,00"
"Du, 2 octombrie 2016",27,23,2,44,48,38,REPORT,"351.980,16","5.610.358,88",11,"15.999,09","0,00",382,"460,70","0,00",7.608,"30,00","0,00"
"Jo, 29 septembrie 2016",32,43,40,44,2,26,REPORT,"178.789,68","5.258.378,72",2,"44.697,42","0,00",116,"770,64","0,00",2.822,"30,00","0,00"
"Du, 25 septembrie 2016",11,25,43,42,30,23,REPORT,"345.406,80","5.079.589,04",5,"34.540,68","0,00",291,"593,48","0,00",7.05,"30,00","0,00"
"Jo, 22 septembrie 2016",33,25,30,17,13,31,REPORT,"140.651,64","4.734.182,24",5,"14.065,16","0,00",320,"219,76","0,00",5.467,"30,00","0,00"
"Du, 18 septembrie 2016",22,47,15,14,41,2,REPORT,"0,00","4.593.530,60",5,"33.974,10","0,00",263,"645,89","0,00",5.934,"30,00","0,00"
"Du, 18 septembrie 2016",18,19,35,23,45,13,REPORT,"282.531,00","3.953.789,60",15,"9.417,70","0,00",501,"281,96","0,00",9.748,"30,00","0,00"
"Jo, 15 septembrie 2016",22,18,5,28,29,15,REPORT,"150.887,64","3.671.258,60",2,"37.721,91","0,00",338,"223,20","0,00",5.823,"30,00","0,00"
"Du, 11 septembrie 2016",34,21,25,14,46,43,REPORT,"341.568,96","3.520.370,96",6,"28.464,08","0,00",379,"450,61","0,00",6.976,"30,00","0,00"
"Jo, 8 septembrie 2016",40,39,14,46,7,41,REPORT,"184.941,12","3.178.802,00",2,"46.235,28","0,00",169,"547,16","0,00",3.312,"30,00","0,00"
"Du, 4 septembrie 2016",41,13,21,43,45,28,REPORT,"332.457,00","2.993.860,88",7,"23.746,92","0,00",336,"494,72","0,00",6.921,"30,00","0,00"
"Jo, 1 septembrie 2016",19,26,45,25,22,3,REPORT,"150.861,60","2.661.403,88",3,"25.143,60","0,00",227,"332,29","0,00",4.676,"30,00","0,00"
"Du, 28 august 2016",48,6,4,30,13,26,REPORT,"294.118,92","2.510.542,28",14,"10.504,24","0,00",602,"244,28","0,00",9.813,"30,00","0,00"
"Jo, 25 august 2016",6,11,25,9,12,1,REPORT,"125.335,44","2.216.423,36",15,"4.177,84","0,00",531,"118,01","0,00",6.642,"30,00","0,00"
"Du, 21 august 2016",38,17,5,11,36,13,REPORT,"264.739,08","2.091.087,92",10,"13.236,95","0,00",721,"183,59","0,00",11.725,"30,00","0,00"
"Jo, 18 august 2016",6,44,1,4,19,8,REPORT,"144.613,32","1.826.348,84",3,"24.102,22","0,00",277,"261,03","0,00",5.029,"30,00","0,00"
"Du, 14 august 2016",47,3,49,6,7,24,REPORT,"316.589,28","1.681.735,52",9,"17.588,29","0,00",475,"333,25","0,00",9.26,"30,00","0,00"
"Jo, 11 august 2016",14,4,19,49,34,38,REPORT,"155.068,44","1.365.146,24",5,"44.068,56","0,00",173,"448,17","0,00",3.431,"30,00","0,00"
"Du, 7 august 2016",7,5,36,41,4,32,REPORT,"285.617,16","1.210.077,80",REPORT,"142.808,58","142.808,58",290,"492,44","0,00",6.325,"30,00","0,00"
"Jo, 4 august 2016",16,42,2,6,46,30,REPORT,"138.722,16","924.460,64",3,"23.120,36","0,00",148,"468,65","0,00",2.926,"30,00","0,00"
"Du, 31 iulie 2016",38,32,31,49,3,4,REPORT,"285.738,48","785.738,48",1,"142.869,24","0,00",118,"1.210,75","0,00",3.686,"30,00","0,00"
"Jo, 28 iulie 2016",42,44,10,3,33,27,1,"17.723.482,04","0,00",7,"15.064,56","0,00",280,"376,61","0,00",5.404,"30,00","0,00"
"Du, 24 iulie 2016",24,16,28,21,6,33,REPORT,"365.249,52","17.512.578,20",13,"14.048,05","0,00",827,"220,82","0,00",12.966,"30,00","0,00"
"Jo, 21 iulie 2016",2,41,42,6,39,12,REPORT,"237.308,64","17.147.328,68",2,"59.327,16","0,00",193,"614,78","0,00",4.58,"30,00","0,00"
"Du, 17 iulie 2016",12,26,9,45,4,47,REPORT,"417.076,20","16.910.020,04",11,"18.958,00","0,00",711,"293,30","0,00",11.921,"30,00","0,00"
"Jo, 14 iulie 2016",22,31,34,47,10,49,REPORT,"223.515,36","16.492.943,84",1,"111.757,68","0,00",177,"631,39","0,00",3.852,"30,00","0,00"
"Du, 10 iulie 2016",9,38,45,21,20,5,REPORT,"494.713,28","16.269.428,48",10,"24.735,66","0,00",636,"388,92","0,00",10.736,"30,00","0,00"
"Jo, 7 iulie 2016",15,31,26,4,42,17,REPORT,"204.003,84","15.674.715,20",4,"25.500,48","0,00",238,"428,57","0,00",4.792,"30,00","0,00"
"Du, 3 iulie 2016",42,25,38,22,27,15,REPORT,"399.888,60","15.470.711,36",10,"19.994,43","0,00",530,"377,25","0,00",9.255,"30,00","0,00"
"Jo, 30 iunie 2016",1,27,34,49,14,6,REPORT,"203.257,32","15.070.822,76",12,"8.469,05","0,00",303,"335,40","0,00",5.193,"30,00","0,00"
"Du, 26 iunie 2016",24,43,1,25,46,22,REPORT,"429.121,44","14.867.565,44",7,"30.651,53","0,00",318,"674,71","0,00",7.684,"30,00","0,00"
"Jo, 23 iunie 2016",24,7,46,35,3,27,REPORT,"172.533,48","14.438.444,00",12,"7.188,89","0,00",308,"280,08","0,00",5.089,"30,00","0,00"
"Du, 19 iunie 2016",25,35,30,4,11,14,REPORT,"408.509,16","14.265.910,52",6,"34.042,43","0,00",537,"380,36","0,00",9.929,"30,00","0,00"
"Jo, 16 iunie 2016",30,16,4,9,13,2,REPORT,"184.997,52","13.857.401,36",6,"15.416,46","0,00",470,"196,80","0,00",7.49,"30,00","0,00"
"Du, 12 iunie 2016",27,20,25,46,22,11,REPORT,"407.441,40","13.672.403,84",3,"67.906,90","0,00",536,"380,07","0,00",10.507,"30,00","0,00"
"Jo, 9 iunie 2016",30,42,44,18,10,31,REPORT,"220.555,68","13.264.962,44",7,"15.753,97","0,00",217,"508,19","0,00",4.332,"30,00","0,00"
"Du, 5 iunie 2016",39,7,4,13,36,22,REPORT,"386.799,36","13.044.406,76",22,"8.790,89","0,00",833,"232,17","0,00",13.936,"30,00","0,00"
"Jo, 2 iunie 2016",13,27,37,8,23,12,REPORT,"154.670,16","12.657.607,40",10,"7.733,50","0,00",456,"169,59","0,00",7.194,"30,00","0,00"
"Du, 29 mai 2016",11,48,3,19,10,5,REPORT,"345.259,32","12.502.937,24",10,"17.262,96","0,00",834,"206,99","0,00",13.915,"30,00","0,00"
"Jo, 26 mai 2016",1,43,21,45,26,20,REPORT,"212.402,64","12.157.677,92",5,"21.240,26","0,00",156,"680,77","0,00",3.674,"30,00","0,00"
"Du, 22 mai 2016",30,13,1,42,34,19,REPORT,"434.840,88","11.945.275,28",7,"31.060,06","0,00",523,"415,71","0,00",10.03,"30,00","0,00"
"Jo, 19 mai 2016",24,7,34,2,9,37,REPORT,"199.330,80","11.510.434,40",8,"12.458,17","0,00",251,"397,07","0,00",5.478,"30,00","0,00"
"Du, 15 mai 2016",24,4,42,25,37,20,REPORT,"454.859,28","11.311.103,60",5,"45.485,92","0,00",558,"407,58","0,00",10.466,"30,00","0,00"
"Jo, 12 mai 2016",3,37,6,22,2,10,REPORT,"180.327,00","10.856.244,32",10,"9.016,35","0,00",329,"274,05","0,00",5.391,"30,00","0,00"
"Du, 8 mai 2016",48,17,34,25,14,5,REPORT,"368.694,60","10.675.917,32",17,"10.843,95","0,00",778,"236,95","0,00",12.045,"30,00","0,00"
"Jo, 5 mai 2016",39,5,19,13,15,32,REPORT,"158.176,68","10.307.222,72",7,"11.298,33","0,00",264,"299,57","0,00",5.113,"30,00","0,00"
"Du, 1 mai 2016",16,40,9,36,37,43,REPORT,"569.459,00","9.305.672,04",11,"25.884,50","0,00",546,"521,48","0,00",10.756,"30,00","0,00"
"Du, 24 aprilie 2016",6,15,42,43,45,32,REPORT,"494.206,20","8.736.213,04",4,"61.775,77","0,00",281,"879,37","0,00",7.539,"30,00","0,00"
"Jo, 21 aprilie 2016",18,47,5,14,46,6,REPORT,"197.516,88","8.242.006,84",2,"49.379,22","0,00",223,"442,86","0,00",4.794,"30,00","0,00"
"Du, 17 aprilie 2016",9,15,12,27,44,46,REPORT,"396.329,64","8.044.489,96",10,"19.816,48","0,00",686,"288,87","0,00",12.633,"30,00","0,00"
"Jo, 14 aprilie 2016",9,44,5,16,31,10,REPORT,"184.574,76","7.648.160,32",3,"30.762,46","0,00",293,"314,97","0,00",5.713,"30,00","0,00"
"Du, 10 aprilie 2016",35,42,17,41,28,33,REPORT,"403.168,32","7.463.585,56",16,"12.599,01","0,00",592,"340,51","0,00",10.096,"30,00","0,00"
"Jo, 7 aprilie 2016",20,26,39,25,14,21,REPORT,"180.970,08","7.060.417,24",5,"18.097,00","0,00",198,"456,99","0,00",4.188,"30,00","0,00"
"Du, 3 aprilie 2016",36,6,34,13,47,49,REPORT,"387.709,68","6.879.447,16",15,"12.923,65","0,00",615,"315,21","0,00",10.67,"30,00","0,00"
"Jo, 31 martie 2016",21,11,44,43,32,5,REPORT,"194.543,76","6.491.737,48",3,"32.423,96","0,00",198,"491,27","0,00",3.794,"30,00","0,00"
"Du, 27 martie 2016",2,3,24,40,6,43,REPORT,"422.199,60","6.297.193,72",6,"35.183,30","0,00",373,"565,95","0,00",8.694,"30,00","0,00"
"Jo, 24 martie 2016",15,21,24,47,16,18,REPORT,"180.008,40","5.874.994,12",1,"90.004,20","0,00",236,"381,37","0,00",5.034,"30,00","0,00"
"Du, 20 martie 2016",4,5,30,23,36,1,REPORT,"399.264,72","5.694.985,72",6,"33.272,06","0,00",604,"330,51","0,00",11.546,"30,00","0,00"
"Jo, 17 martie 2016",40,13,45,9,43,41,REPORT,"206.935,08","5.295.721,00",2,"51.733,77","0,00",187,"553,30","0,00",4.001,"30,00","0,00"
"Du, 13 martie 2016",3,21,45,19,4,29,REPORT,"401.211,12","5.088.785,92",7,"41.316,06","0,00",587,"341,74","0,00",10.926,"30,00","0,00"
"Jo, 10 martie 2016",26,28,44,46,3,45,REPORT,"177.213,72","4.687.574,80",REPORT,"88.606,86","88.606,86",156,"567,99","0,00",3.655,"30,00","0,00"
"Du, 6 martie 2016",29,8,2,34,46,37,REPORT,"389.951,00","3.901.495,08",7,"27.853,64","0,00",459,"424,78","0,00",8.296,"30,00","0,00"
"Du, 6 martie 2016",41,14,49,25,2,44,REPORT,"4.510.361,08",,7,"29.204,71",,336,"608,43",,7.035,"30,00",
"Jo, 3 martie 2016",16,38,19,27,41,45,REPORT,"182.253,24","3.511.544,08",4,"22.781,65","0,00",231,"394,48","0,00",3.867,"30,00","0,00"
"Du, 28 februarie 2016",25,4,19,41,20,36,REPORT,"392.351,88","3.329.290,84",6,"32.695,99","0,00",565,"347,21","0,00",9.733,"30,00","0,00"
"Jo, 25 februarie 2016",15,34,31,37,6,24,REPORT,"182.049,00","2.936.938,96",2,"45.512,25","0,00",282,"322,78","0,00",4.697,"30,00","0,00"
"Du, 21 februarie 2016",47,21,1,40,31,39,REPORT,"474.848,76","2.754.889,96",3,"79.141,46","0,00",255,"931,07","0,00",6.123,"30,00","0,00"
"Jo, 18 februarie 2016",33,5,4,18,16,8,REPORT,"173.351,16","2.280.041,20",5,"17.335,11","0,00",332,"261,07","0,00",6.171,"30,00","0,00"
"Du, 14 februarie 2016",23,46,8,11,48,13,REPORT,"380.665,56","2.106.690,04",15,"12.688,85","0,00",694,"274,25","0,00",12.023,"30,00","0,00"
"Jo, 11 februarie 2016",32,40,9,31,21,28,REPORT,"189.462,00","1.726.024,48",4,"23.682,75","0,00",149,"635,77","0,00",3.574,"30,00","0,00"
"Du, 7 februarie 2016",36,29,4,1,45,42,REPORT,"406.346,76","1.536.562,48",4,"50.793,34","0,00",287,"707,92","0,00",6.757,"30,00","0,00"
"Jo, 4 februarie 2016",42,47,44,45,6,24,REPORT,"188.565,00","1.130.215,72",5,"18.856,50","0,00",162,"581,99","0,00",3.301,"30,00","0,00"
"Du, 31 ianuarie 2016",28,6,49,18,9,36,REPORT,"324.197,76","941.650,72",17,"9.535,22","0,00",750,"216,13","0,00",11.896,"30,00","0,00"
"Jo, 28 ianuarie 2016",11,35,13,1,33,14,REPORT,"169.449,00","617.452,96",1,"84.724,50","0,00",246,"344,40","0,00",4.609,"30,00","0,00"
"Du, 24 ianuarie 2016",43,39,4,28,20,5,REPORT,"348.003,96","448.003,96",6,"29.000,33","0,00",269,"646,84","0,00",6.307,"30,00","0,00"
"Mi, 30 decembrie 2015",10,15,18,47,34,48,REPORT,"0,00","30.798.030,48",22,"23.995,22","0,00",1.066,"495,21","0,00",21.638,"30,00","0,00"
"Mi, 30 decembrie 2015",8,35,4,28,40,22,2,"16.161.917,74",,25,"20.516,10",,1.434,"357,67",,23.637,"30,00",
"Du, 20 decembrie 2015",8,18,44,27,2,13,REPORT,"484.609,68","29.742.240,48",22,"11.013,85","0,00",1.433,"169,08","0,00",21.146,"30,00","0,00"
"Jo, 17 decembrie 2015",46,26,11,19,28,6,REPORT,"285.074,64","29.257.630,80",10,"14.253,73","0,00",624,"228,42","0,00",9.682,"30,00","0,00"
"Du, 13 decembrie 2015",32,25,11,21,14,38,REPORT,"569.634,48","28.972.556,16",9,"31.646,36","0,00",657,"433,51","0,00",13.926,"30,00","0,00"
"Jo, 10 decembrie 2015",41,1,20,46,36,14,REPORT,"299.087,64","28.402.921,68",7,"21.363,40","0,00",258,"579,62","0,00",4.895,"30,00","0,00"
"Du, 6 decembrie 2015",26,49,9,20,48,6,REPORT,"553.118,64","28.103.834,04",21,"13.169,49","0,00",970,"285,11","0,00",16.734,"30,00","0,00"
"Jo, 3 decembrie 2015",10,13,37,44,14,46,REPORT,"250.002,36","27.550.715,40",3,"41.667,06","0,00",284,"440,14","0,00",6.755,"30,00","0,00"
"Du, 29 noiembrie 2015",5,28,26,35,12,47,REPORT,"518.191,68","27.300.713,04",15,"17.273,05","0,00",954,"271,58","0,00",15.72,"30,00","0,00"
"Jo, 26 noiembrie 2015",21,46,26,32,3,35,REPORT,"267.587,52","26.782.521,36",3,"44.597,92","0,00",255,"524,68","0,00",5.24,"30,00","0,00"
"Du, 22 noiembrie 2015",14,43,23,21,33,16,REPORT,"564.870,48","26.514.933,84",13,"21.725,78","0,00",882,"320,22","0,00",15.842,"30,00","0,00"
"Jo, 19 noiembrie 2015",31,3,10,47,25,8,REPORT,"263.741,40","25.950.063,36",17,"7.757,10","0,00",502,"262,69","0,00",7.575,"30,00","0,00"
"Du, 15 noiembrie 2015",29,10,2,30,3,18,REPORT,"531.366,48","25.686.321,96",24,"11.070,13","0,00",866,"306,79","0,00",15.458,"30,00","0,00"
"Jo, 12 noiembrie 2015",44,2,13,39,12,19,REPORT,"243.506,28","25.154.955,48",8,"15.219,14","0,00",431,"282,48","0,00",7.241,"30,00","0,00"
"Du, 8 noiembrie 2015",13,16,32,7,10,36,REPORT,"433.784,16","24.911.449,20",24,"9.037,17","0,00",933,"232,46","0,00",16.348,"30,00","0,00"
"Jo, 5 noiembrie 2015",45,41,47,42,40,10,REPORT,"264.435,48","24.477.665,04",4,"33.054,43","0,00",176,"751,23","0,00",3.559,"30,00","0,00"
"Du, 1 noiembrie 2015",11,21,20,8,41,34,REPORT,"548.702,52","24.213.229,56",10,"27.435,12","0,00",667,"411,32","0,00",12.533,"30,00","0,00"
"Jo, 29 octombrie 2015",2,12,26,19,37,25,REPORT,"216.906,60","23.464.527,04",7,"15.493,32","0,00",511,"212,23","0,00",8.417,"30,00","0,00"
"Du, 25 octombrie 2015",31,9,7,17,10,47,REPORT,"498.394,80","23.247.620,44",12,"20.766,45","0,00",905,"275,35","0,00",16.678,"30,00","0,00"
"Jo, 22 octombrie 2015",44,3,24,1,49,2,REPORT,"257.337,72","22.749.225,64",6,"21.444,81","0,00",373,"344,95","0,00",5.819,"30,00","0,00"
"Du, 18 octombrie 2015",10,17,47,11,12,23,REPORT,"459.151,68","22.491.887,92",24,"9.565,66","0,00",1.168,"196,55","0,00",18.608,"30,00","0,00"
"Jo, 15 octombrie 2015",14,45,46,9,22,8,REPORT,"250.954,68","22.032.736,24",1,"125.477,34","0,00",262,"478,92","0,00",6.675,"30,00","0,00"
"Du, 11 octombrie 2015",30,44,27,29,28,45,REPORT,"523.659,84","21.781.781,56",6,"43.638,32","0,00",372,"703,84","0,00",9.096,"30,00","0,00"
"Jo, 8 octombrie 2015",33,18,6,42,37,35,REPORT,"216.441,00","21.258.121,72",8,"13.527,56","0,00",349,"310,08","0,00",5.873,"30,00","0,00"
"Du, 4 octombrie 2015",31,1,36,39,24,14,REPORT,"520.698,48","21.041.680,72",7,"37.192,74","0,00",483,"539,02","0,00",9.854,"30,00","0,00"
"Jo, 1 octombrie 2015",11,2,38,32,41,30,REPORT,"272.214,24","20.520.982,24",4,"34.026,78","0,00",233,"584,15","0,00",4.452,"30,00","0,00"
"Du, 27 septembrie 2015",26,1,32,18,12,7,REPORT,"467.184,00","20.248.768,00",21,"11.123,42","0,00",957,"244,08","0,00",16.504,"30,00","0,00"
"Jo, 24 septembrie 2015",49,31,38,44,14,10,REPORT,"256.230,84","19.781.584,00",3,"42.705,14","0,00",231,"554,61","0,00",4.363,"30,00","0,00"
"Du, 20 septembrie 2015",48,34,20,27,47,2,REPORT,"531.993,12","19.525.353,16",17,"15.646,85","0,00",602,"441,85","0,00",10.932,"30,00","0,00"
"Jo, 17 septembrie 2015",32,3,28,14,8,29,REPORT,"225.100,68","18.993.360,04",11,"10.231,84","0,00",373,"301,74","0,00",6.517,"30,00","0,00"
"Du, 13 septembrie 2015",28,40,3,17,34,49,REPORT,"0,00","17.641.167,36",8,"40.812,31","0,00",633,"515,79","0,00",12.016,"30,00","0,00"
"Du, 13 septembrie 2015",22,21,18,17,41,8,REPORT,"18.768.259,36","18.768.259,36",16,"19.596,62",,684,"458,40",,13.743,"30,00",
"Du, 6 septembrie 2015",38,3,12,16,28,18,REPORT,"439.270,80","16.988.170,36",9,"24.403,93","0,00",780,"281,58","0,00",14.338,"30,00","0,00"
"Jo, 3 septembrie 2015",15,10,26,9,6,47,REPORT,"194.764,80","16.548.899,56",9,"10.820,26","0,00",362,"269,01","0,00",7.288,"30,00","0,00"
"Du, 30 august 2015",44,48,1,34,2,25,REPORT,"575.569,68","16.354.134,76",3,"95.928,28","0,00",413,"696,81","0,00",9.354,"30,00","0,00"
"Jo, 27 august 2015",23,5,26,42,17,34,REPORT,"237.449,52","15.778.565,08",13,"9.132,67","0,00",491,"241,80","0,00",7.27,"30,00","0,00"
"Du, 23 august 2015",16,28,17,43,20,36,REPORT,"537.128,16","15.541.115,56",6,"44.760,68","0,00",681,"394,36","0,00",12.932,"30,00","0,00"
"Jo, 20 august 2015",26,41,38,18,4,36,REPORT,"251.992,68","15.003.987,40",15,"8.399,75","0,00",385,"327,26","0,00",6.361,"30,00","0,00"
"Du, 16 august 2015",11,8,44,10,46,35,REPORT,"542.404,08","14.751.994,72",6,"45.200,34","0,00",511,"530,72","0,00",11.622,"30,00","0,00"
"Jo, 13 august 2015",16,10,14,24,3,6,REPORT,"211.299,96","14.209.590,64",10,"10.564,99","0,00",419,"252,14","0,00",7.387,"30,00","0,00"
"Du, 9 august 2015",29,15,21,46,36,18,REPORT,"431.235,48","13.998.290,68",8,"26.952,21","0,00",557,"387,10","0,00",10.911,"30,00","0,00"
"Jo, 6 august 2015",35,16,14,7,46,40,REPORT,"229.853,64","13.567.055,20",3,"38.308,94","0,00",229,"501,86","0,00",4.533,"30,00","0,00"
"Du, 2 august 2015",1,27,14,23,30,40,REPORT,"444.528,24","13.337.201,56",8,"27.783,01","0,00",545,"407,82","0,00",10.67,"30,00","0,00"
"Jo, 30 iulie 2015",34,25,44,18,39,24,REPORT,"205.703,16","12.892.673,32",8,"12.856,44","0,00",383,"268,54","0,00",5.803,"30,00","0,00"
"Du, 26 iulie 2015",48,43,38,6,10,36,REPORT,"451.762,08","12.686.970,16",3,"75.293,68","0,00",437,"516,89","0,00",8.22,"30,00","0,00"
"Jo, 23 iulie 2015",16,48,46,36,42,26,REPORT,"223.405,92","12.235.208,08",10,"11.170,29","0,00",324,"344,76","0,00",4.572,"30,00","0,00"
"Du, 19 iulie 2015",37,33,10,43,49,40,REPORT,"475.083,36","12.011.802,16",10,"23.754,16","0,00",349,"680,63","0,00",7.684,"30,00","0,00"
"Jo, 16 iulie 2015",43,48,31,33,24,45,REPORT,"252.626,64","11.536.718,80",3,"42.104,44","0,00",200,"631,56","0,00",4.066,"30,00","0,00"
"Du, 12 iulie 2015",45,13,15,32,2,23,REPORT,"552.036,60","11.284.092,16",6,"46.003,05","0,00",544,"507,38","0,00",11.703,"30,00","0,00"
"Jo, 9 iulie 2015",19,17,5,2,41,28,REPORT,"184.066,32","10.532.055,56",4,"23.008,29","0,00",300,"306,77","0,00",5.258,"30,00","0,00"
